"","match_number","team","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","3","red","17","6","6","None","Level","5","11","Park","NotLevel"
"2","11","blue","57","6","9","None","Level","14","18","Park","NotLevel"
"3","14","blue","111","12","27","None","Level","35","47","Park","Level"
"4","19","red","49","10","25","None","Level","16","24","None","NotLevel"
"5","28","blue","55","10","13","None","Level","20","42","Park","Level"
"6","32","red","110","18","39","None","Level","36","56","Park","Level"
"7","37","red","67","6","24","None","Level","26","38","None","Level"
"8","45","blue","64","8","14","None","Level","23","45","Park","Level"
"9","51","blue","55","7","18","None","NotLevel","29","37","Park","NotLevel"
"10","54","red","76","16","31","None","Level","20","40","Park","Level"
"11","59","red","54","13","27","None","NotLevel","6","12","Park","NotLevel"
"12","65","blue","56","11","17","None","NotLevel","12","24","None","NotLevel"
