"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","red","frc2468","frc834","frc2506","123","22","43","Docked","Level","38","60","Docked","Level","3"
"2","14","blue","frc1481","frc2506","frc2875","123","16","34","Docked","Level","44","74","Docked","Level","1"
"3","28","red","frc1619","frc2582","frc2506","137","18","39","Docked","Level","51","73","Docked","Level","4"
"4","39","blue","frc3130","frc1884","frc2506","78","9","12","None","Level","36","46","Docked","NotLevel","0"
"5","63","red","frc2220","frc2506","frc5232","140","15","21","None","Level","54","84","Docked","Level","2"
"6","77","red","frc2506","frc3663","frc8159","113","12","30","Docked","Level","50","58","Docked","NotLevel","0"
"7","88","blue","frc7174","frc2506","frc4598","104","18","32","Docked","NotLevel","32","62","Docked","Level","1"
"8","97","blue","frc4028","frc687","frc2506","158","27","48","None","Level","53","75","Docked","Level","4"
"9","110","blue","frc2506","frc111","frc3322","162","20","41","None","Level","56","86","Docked","Level","4"
"10","120","red","frc2506","frc8724","frc2457","138","22","43","Docked","Level","41","63","Docked","Level","1"
