"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","7","red","frc1574","frc3130","frc27","141","21","27","None","Level","57","79","Park","Level","3"
"2","24","blue","frc3130","frc5635","frc9059","87","8","29","None","Level","12","14","Docked","Level","0"
"3","39","blue","frc3130","frc1884","frc2506","78","9","12","None","Level","36","46","Docked","NotLevel","0"
"4","50","blue","frc1189","frc3130","frc3015","158","16","30","Docked","NotLevel","68","98","Docked","Level","4"
"5","58","blue","frc3130","frc2202","frc4903","147","15","36","None","Level","59","81","Docked","Level","4"
"6","66","red","frc3130","frc7563","frc834","139","21","27","None","NotLevel","52","82","Docked","Level","2"
"7","78","red","frc2468","frc3130","frc1102","187","22","43","None","Level","72","94","Park","Level","4"
"8","93","blue","frc3256","frc120","frc3130","132","16","37","None","Level","52","70","Docked","NotLevel","2"
"9","113","red","frc7444","frc624","frc3130","124","22","40","None","Level","51","59","Docked","NotLevel","3"
"10","123","red","frc4598","frc3322","frc3130","121","14","32","Docked","Level","39","69","Docked","Level","1"
