"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc4","frc2905","frc9148","66","9","12","None","Level","22","44","Docked","Level","0"
"2","21","red","frc4","frc1884","frc3015","125","19","37","None","Level","38","68","Docked","Level","1"
"3","33","blue","frc27","frc862","frc4","126","21","27","None","Level","49","79","Docked","Level","1"
"4","47","blue","frc4","frc324","frc9180","123","9","30","Docked","Level","43","73","Docked","Level","3"
"5","62","red","frc9101","frc1700","frc4","82","4","10","None","Level","33","47","Park","NotLevel","0"
"6","73","blue","frc1768","frc111","frc4","173","31","52","Docked","Level","59","81","Docked","Level","4"
"7","81","blue","frc972","frc4","frc687","184","27","48","None","Level","66","96","None","Level","4"
"8","103","red","frc9134","frc4","frc9067","68","12","21","None","Level","31","37","Docked","NotLevel","0"
"9","112","blue","frc2106","frc70","frc4","149","18","36","Docked","Level","58","88","Docked","Level","2"
"10","121","red","frc4362","frc4","frc5993","152","26","44","Docked","Level","53","73","Docked","Level","2"
