"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc3875","frc2438","frc5422","40","3","9","None","NotLevel","11","31","Docked","Level","0"
"2","21","blue","frc2883","frc3875","frc9000","114","28","34","None","NotLevel","35","65","None","Level","1"
"3","33","blue","frc3875","frc1325","frc4091","140","24","45","None","Level","45","75",NA,"Level","1"
"4","43","red","frc3875","frc2412","frc1710","116","22","28","None","Level","43","53",NA,"Level","0"
"5","55","red","frc6806","frc9280","frc3875","104","9","30","Docked","Level","51","59",NA,"NotLevel","0"
"6","73","blue","frc2073","frc9135","frc3875","-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","89","blue","frc3035","frc3875","frc1038","-1",NA,NA,NA,NA,NA,NA,"Docked",NA,NA
"8","103","red","frc3875","frc6838","frc1138","-1",NA,NA,NA,NA,NA,NA,"None",NA,NA
"9","115","blue","frc9293","frc20","frc3875","-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","127","red","frc2869","frc3875","frc3082","-1",NA,NA,NA,NA,NA,NA,NA,NA,NA
