"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","7","red","frc1792","frc201","frc876","128","21","42","None","Level","32","54","Docked","Level","3"
"2","19","red","frc876","frc4682","frc9118","104","18","39","None","Level","33","55","Docked","Level","1"
"3","34","red","frc876","frc3357","frc2341","164","24","42","Docked","Level","65","87","Docked","Level","4"
"4","50","blue","frc2609","frc876","frc3189","164","16","37","None","Level","65","87","Docked","Level","4"
"5","61","red","frc8019","frc876","frc3636","164","24","41","None","NotLevel","58","88","Docked","Level","4"
"6","75","blue","frc3654","frc2169","frc876","156","22","43","None","Level","53","83","Park","Level","2"
"7","86","blue","frc4096","frc876","frc7407","177","34","55","None","Level","60","82","Docked","Level","4"
"8","97","red","frc5587","frc876","frc1807","127","21","42","None","Level","50","60","Docked","NotLevel","1"
"9","115","blue","frc876","frc4391","frc4414","197","26","47","None","Level","78","100","Docked","Level","4"
"10","126","blue","frc610","frc4265","frc876","164","20","41","None","Level","66","88","Docked","Level","4"
